GeneId:intron	baseMean	baseMean_Mock_control	baseMean_METTL3_KD	log2FC	pval	padj
ENSG00000204507:3	2.716220e+01	5.266341e+01	1.660993e+00	-4.98668278616918	1.76198612266008e-09	4.40905800443133e-07
ENSG00000204520:1	1.132007e+02	1.721709e+02	5.423040e+01	-1.66666774843413	1.70952134791182e-07	2.87643437833634e-05
ENSG00000204520:2	1.025991e+02	1.522915e+02	5.290665e+01	-1.52531431884743	3.92033293037083e-06	0.000462917376854265
ENSG00000204520:3	6.889619e+02	1.025827e+03	3.520965e+02	-1.54274535336883	2.33455354579792e-27	4.25617331276987e-24
ENSG00000204520:4	3.044178e+02	4.357283e+02	1.731073e+02	-1.33176192875265	7.70974977679063e-11	2.36866356846051e-08
ENSG00000204525:15	2.604532e+01	4.431012e+01	7.780522e+00	-2.50969745145769	0.000185252639967088	0.0123878089403869
ENSG00000204531:4	2.671808e+02	3.988332e+02	1.355285e+02	-1.5571897915291	3.6484484278754e-13	1.60554957023406e-10
ENSG00000204566:1	1.663906e+01	4.831506e-01	3.279496e+01	6.08485742087686	0.000137282038086042	0.00962683453038376
ENSG00000204569:18	2.148235e+02	9.494334e+01	3.347036e+02	1.81774522775592	1.40994000559801e-11	4.90387183833822e-09
ENSG00000204618:1	1.102058e+02	4.747518e+01	1.729365e+02	1.86499669811886	3.24080833271994e-07	5.04374358003349e-05
ENSG00000204618:3	3.609320e+01	1.210686e+01	6.007953e+01	2.31104901106835	0.000556083114177496	0.0301393051207132
ENSG00000204634:5	5.043536e+01	7.801200e+01	2.285872e+01	-1.77095150795938	0.000306706615468439	0.0186046999388212
ENSG00000204693:12	1.390354e+02	1.855453e+02	9.252536e+01	-1.00385102333003	0.000698879757185276	0.0359413971593509
ENSG00000204794:6	7.057135e+01	1.070151e+02	3.412762e+01	-1.64880230207031	3.33166234754048e-05	0.00294478481676268
ENSG00000204798:3	5.199388e+01	8.596642e+01	1.802133e+01	-2.25406746659195	2.46107733047315e-06	0.000309085975348083
ENSG00000204798:5	3.743224e+01	5.810449e+01	1.675999e+01	-1.79362850412972	0.000862170310228394	0.042672286142044
ENSG00000204838:1	9.271711e+01	1.362492e+02	4.918502e+01	-1.46995690022013	3.37642672508907e-05	0.00297484173871045
ENSG00000204929:1	2.100214e+01	3.752494e+01	4.479334e+00	-3.06649357999748	6.42158401243752e-05	0.00509257396749252
ENSG00000204929:4	7.930234e+00	1.546082e+01	3.996488e-01	-5.27374023529235	0.00105535286356537	0.0499963625005564
ENSG00000204941:5	7.902336e+01	2.106973e+01	1.369770e+02	2.70069008772441	5.83540004022253e-09	1.29948484331957e-06
ENSG00000205208:16	4.283872e+01	6.635317e+01	1.932428e+01	-1.7797509437888	0.000490275620880662	0.0271763069183379
ENSG00000205221:6	1.080889e+02	1.981564e+02	1.802133e+01	-3.45886203015703	1.90538755520878e-21	2.12155313395542e-18
ENSG00000205221:7	2.778930e+01	4.697798e+01	8.600619e+00	-2.44947245658495	0.000171484367133573	0.0116312111385643
